,0
375,-1.0
376,0.0
377,0.0
378,-3.0
379,-10.0
380,1.0
381,0.0
382,0.0
383,-1.0
384,1.0
385,2.0
386,-1.0
387,-1.0
388,-1.0
389,1.0
390,-1.0
391,-7.0
392,0.0
393,0.0
394,3.0
395,-4.0
396,-1.0
397,0.0
398,7.0
399,10.0
400,0.0
401,-5.0
402,0.0
403,2.0
404,1.0
405,-1.0
406,-1.0
407,-3.0
408,1.0
409,-5.0
410,-1.0
411,0.0
412,3.0
413,-2.0
414,0.0
415,1.0
416,0.0
417,5.0
418,0.0
419,-2.0
420,0.0
421,0.0
422,0.0
423,0.0
424,2.0
425,0.0
426,-3.0
427,0.0
428,1.0
429,0.0
430,0.0
431,0.0
432,-1.0
433,2.0
434,1.0
435,3.0
436,-1.0
437,0.0
438,-1.0
439,8.0
440,0.0
441,-1.0
442,1.0
443,-10.0
444,-1.0
445,6.0
446,-1.0
447,0.0
448,6.0
449,-2.0
450,-1.0
451,-2.0
452,1.0
453,-1.0
454,-1.0
455,-23.0
456,0.0
457,-5.0
458,-4.0
459,-2.0
460,-1.0
461,8.0
462,-7.0
463,1.0
464,5.0
465,0.0
466,0.0
467,17.0
468,1.0
469,-1.0
470,1.0
471,-7.0
472,2.0
473,0.0
474,2.0
475,0.0
476,0.0
477,6.0
478,-1.0
479,0.0
480,0.0
481,-1.0
482,0.0
483,8.0
484,-1.0
485,-3.0
486,6.0
487,-10.0
488,-3.0
489,6.0
490,1.0
491,0.0
492,-3.0
493,3.0
494,9.0
495,3.0
496,-1.0
497,-6.0
498,-6.0
499,7.0
500,0.0
501,0.0
502,5.0
503,6.0
504,-1.0
505,-1.0
506,1.0
507,2.0
508,0.0
509,-9.0
510,7.0
511,-27.0
512,3.0
513,3.0
514,3.0
515,-1.0
516,0.0
517,0.0
518,16.0
519,0.0
520,-3.0
521,1.0
522,1.0
523,0.0
524,1.0
525,-3.0
526,-6.0
527,3.0
528,-2.0
529,-1.0
530,-1.0
531,-2.0
532,-17.0
533,1.0
534,3.0
535,0.0
536,0.0
537,-7.0
538,1.0
539,0.0
540,-1.0
541,-1.0
542,-1.0
543,6.0
544,2.0
545,-1.0
546,0.0
547,-1.0
548,2.0
549,-1.0
550,1.0
551,6.0
552,0.0
553,4.0
554,-20.0
555,-1.0
556,-1.0
557,-34.0
558,0.0
559,-1.0
560,0.0
561,2.0
562,1.0
563,1.0
564,-1.0
565,-1.0
566,1.0
567,1.0
568,-17.0
569,2.0
570,4.0
571,5.0
572,0.0
573,3.0
574,0.0
575,4.0
576,-26.0
577,0.0
578,-4.0
579,-23.0
580,0.0
581,-1.0
582,0.0
583,3.0
584,-1.0
585,0.0
586,7.0
587,2.0
588,-1.0
589,0.0
590,-1.0
591,0.0
592,-8.0
593,3.0
594,-1.0
595,1.0
596,-14.0
597,1.0
598,0.0
599,3.0
600,-16.0
601,-1.0
602,0.0
603,-1.0
604,2.0
605,1.0
606,1.0
607,1.0
608,-1.0
609,-2.0
610,-2.0
611,0.0
612,0.0
613,0.0
614,-1.0
615,-1.0
616,-12.0
617,-1.0
618,-1.0
619,-1.0
620,0.0
621,-1.0
622,0.0
623,2.0
624,0.0
625,0.0
626,-3.0
627,0.0
628,-1.0
629,8.0
630,-1.0
631,-3.0
632,-1.0
633,1.0
634,1.0
635,-1.0
636,-4.0
637,-2.0
638,-1.0
639,1.0
640,1.0
641,3.0
642,-5.0
643,-1.0
644,-1.0
645,-2.0
646,-2.0
647,-1.0
648,-1.0
649,-1.0
650,-1.0
651,4.0
652,0.0
653,-7.0
654,-2.0
655,-1.0
656,-1.0
657,14.0
658,0.0
659,-2.0
660,0.0
661,1.0
662,0.0
663,0.0
664,-1.0
665,-3.0
666,12.0
667,0.0
668,-3.0
669,1.0
670,0.0
671,-3.0
672,0.0
673,15.0
674,0.0
675,0.0
676,0.0
677,0.0
678,6.0
679,-1.0
680,-10.0
681,15.0
682,-9.0
683,0.0
684,-1.0
685,1.0
686,0.0
687,0.0
688,1.0
689,-2.0
690,3.0
691,-1.0
692,0.0
693,1.0
694,-5.0
695,-2.0
696,-1.0
697,-2.0
698,-13.0
699,3.0
700,1.0
701,1.0
702,2.0
703,0.0
704,1.0
705,-1.0
706,-1.0
707,4.0
708,0.0
709,5.0
710,-1.0
711,1.0
712,-1.0
713,-1.0
714,0.0
715,0.0
716,0.0
717,0.0
718,1.0
719,-18.0
720,3.0
721,0.0
722,-2.0
723,5.0
724,4.0
725,0.0
726,9.0
727,1.0
728,-1.0
729,-12.0
730,-1.0
731,0.0
732,10.0
733,-2.0
734,-1.0
735,-2.0
736,-3.0
737,0.0
738,-1.0
739,1.0
740,0.0
741,-1.0
742,1.0
743,-3.0
744,-1.0
745,1.0
746,0.0
747,-1.0
748,1.0
749,-1.0
750,-1.0
751,0.0
752,-2.0
753,2.0
754,0.0
755,0.0
756,-13.0
757,11.0
758,0.0
759,0.0
760,0.0
761,-3.0
762,-1.0
763,1.0
764,-10.0
765,1.0
766,4.0
767,2.0
768,0.0
769,-1.0
770,0.0
771,2.0
772,0.0
773,0.0
774,-1.0
775,0.0
776,6.0
777,-1.0
778,-1.0
779,0.0
780,0.0
781,-1.0
782,1.0
783,3.0
784,1.0
785,6.0
786,-5.0
787,-1.0
788,-1.0
789,0.0
790,-1.0
791,-1.0
792,-2.0
793,0.0
794,0.0
795,1.0
796,15.0
797,-2.0
798,0.0
799,-1.0
800,0.0
801,-1.0
802,-2.0
803,4.0
804,-1.0
805,4.0
806,0.0
807,-1.0
808,-2.0
809,-1.0
810,0.0
811,-1.0
812,-2.0
813,-13.0
814,-1.0
815,-1.0
816,-1.0
817,4.0
818,16.0
819,-1.0
820,-2.0
821,0.0
822,0.0
823,1.0
824,-1.0
825,0.0
826,-2.0
827,9.0
828,2.0
829,-1.0
830,1.0
831,-1.0
832,-1.0
833,0.0
834,-4.0
835,0.0
836,7.0
837,6.0
838,-2.0
839,0.0
840,-5.0
841,-10.0
842,-2.0
843,0.0
844,-1.0
845,1.0
846,1.0
847,0.0
848,2.0
849,0.0
850,0.0
851,16.0
852,1.0
853,0.0
854,-2.0
855,5.0
856,-4.0
857,0.0
858,5.0
859,0.0
860,1.0
861,0.0
862,1.0
863,0.0
864,3.0
865,-10.0
866,0.0
867,-2.0
868,0.0
869,-1.0
870,0.0
871,3.0
872,1.0
873,3.0
874,0.0
875,6.0
876,0.0
877,-2.0
878,0.0
879,4.0
880,4.0
881,-3.0
882,0.0
883,0.0
884,-10.0
885,-2.0
886,0.0
887,-1.0
888,0.0
889,0.0
890,-3.0
891,-1.0
892,2.0
893,-12.0
894,0.0
895,-1.0
896,0.0
897,5.0
898,-1.0
899,0.0
900,-1.0
901,0.0
902,-3.0
903,0.0
904,-26.0
905,-2.0
906,9.0
907,-1.0
908,0.0
909,0.0
910,-1.0
911,-5.0
912,1.0
913,0.0
914,0.0
915,0.0
916,-7.0
917,0.0
918,0.0
919,-1.0
920,-1.0
921,0.0
922,-1.0
923,12.0
924,-1.0
925,3.0
926,3.0
927,0.0
928,-1.0
929,0.0
930,0.0
931,-2.0
932,-2.0
933,1.0
934,-20.0
935,0.0
936,0.0
937,0.0
938,1.0
939,0.0
940,-1.0
941,3.0
942,1.0
943,0.0
944,-1.0
945,-1.0
946,0.0
947,0.0
948,-19.0
949,1.0
950,-1.0
951,0.0
952,0.0
953,0.0
954,-2.0
955,0.0
956,3.0
957,-1.0
958,-1.0
959,0.0
960,0.0
961,0.0
962,0.0
963,1.0
964,0.0
965,-1.0
966,0.0
967,-6.0
968,-1.0
969,-1.0
970,0.0
971,0.0
972,-1.0
973,0.0
974,7.0
975,0.0
976,-4.0
977,1.0
978,-1.0
979,0.0
980,-1.0
981,-4.0
982,-2.0
983,-1.0
984,0.0
985,4.0
986,-11.0
987,2.0
988,1.0
989,-3.0
990,-1.0
991,-1.0
992,0.0
993,0.0
994,0.0
995,2.0
996,0.0
997,-2.0
998,3.0
999,-1.0
1000,-1.0
1001,0.0
1002,-2.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,2.0
1009,0.0
1010,-1.0
1011,0.0
1012,-1.0
1013,-1.0
1014,1.0
1015,-2.0
1016,0.0
1017,0.0
1018,-1.0
1019,0.0
1020,7.0
1021,0.0
1022,0.0
1023,-3.0
1024,-1.0
1025,-1.0
1026,8.0
1027,-3.0
1028,-1.0
1029,0.0
1030,-20.0
1031,-2.0
1032,13.0
1033,-6.0
1034,3.0
1035,0.0
1036,0.0
1037,0.0
1038,1.0
1039,3.0
1040,0.0
1041,0.0
1042,-4.0
1043,-1.0
1044,0.0
1045,0.0
1046,-1.0
1047,0.0
1048,2.0
1049,11.0
1050,0.0
1051,-1.0
1052,4.0
1053,-2.0
1054,1.0
1055,-4.0
1056,-1.0
1057,0.0
1058,1.0
1059,0.0
1060,0.0
1061,-7.0
1062,-1.0
1063,-1.0
1064,1.0
1065,-3.0
1066,1.0
1067,-8.0
1068,-2.0
1069,-1.0
1070,-1.0
1071,7.0
1072,0.0
1073,9.0
1074,1.0
1075,0.0
1076,0.0
1077,-2.0
1078,0.0
1079,3.0
1080,0.0
1081,2.0
1082,-1.0
1083,-1.0
1084,-3.0
1085,-2.0
1086,-1.0
1087,1.0
1088,5.0
1089,0.0
1090,0.0
1091,-1.0
1092,0.0
1093,0.0
1094,6.0
1095,4.0
1096,0.0
1097,1.0
1098,0.0
1099,4.0
1100,0.0
1101,-1.0
1102,-1.0
1103,0.0
1104,-7.0
1105,0.0
1106,1.0
1107,-1.0
1108,-3.0
1109,3.0
1110,0.0
1111,0.0
1112,1.0
1113,-1.0
1114,0.0
1115,4.0
1116,0.0
1117,0.0
1118,-1.0
1119,0.0
1120,-1.0
